2825 114 2 1
2010 131 2 0
1415 1326 5 0
1823 691 3 0
4385 4181 4 2
884 590 2 0
541 154 3 0
3210 275 5 0
889 27 1 0
702 7 1 0
2380 287 3 0
1183 80 2 0
3470 104 3 0
1579 367 5 0
927 438 3 0
1759 870 4 0
3066 361 2 1
2087 340 6 0
1024 745 3 0
1434 202 1 0
232 27 1 0
733 435 3 0
618 142 2 0
2576 96 2 0
1130 341 3 0
1226 266 5 0
2001 63 2 0
1283 202 1 0
2725 202 1 0
1627 587 4 0
1260 1064 5 0
445 33 1 0
8578 7211 5 2
748 254 5 0
2033 382 3 0
3994 1385 6 1
3562 1436 6 0
1985 1110 4 1
4311 3192 2 1
1914 1048 3 0
2257 1206 11 0
3629 1225 4 1
4120 2067 3 1
3918 2019 3 1
948 622 2 0
4453 211 2 0
3771 1128 4 0
1953 1343 2 1
1687 208 2 0
728 27 1 0
1187 263 4 0
7722 3940 4 1
1541 644 5 0
579 162 2 0
1834 13 1 0
3310 996 3 1
2932 1037 3 0
2291 1089 4 1
1616 610 2 0
2621 1204 5 0
1701 678 8 0
3255 1294 4 1
3857 2107 4 1
2661 531 6 0
1644 629 2 0
3769 143 3 0
3267 1144 4 0
878 49 1 0
2610 1484 3 1
1331 752 4 0
1506 27 1 0
3783 158 2 0
1492 98 3 0
2953 1042 3 1
3538 1136 3 0
1424 169 4 0
3901 95 2 1
2657 7 1 0
1713 303 4 0
2495 335 3 0
337 42 2 0
1288 27 1 0
3832 123 2 0
1188 199 3 0
2770 204 3 0
4133 1051 3 1
1965 629 2 0
2917 91 3 0
1471 796 4 0
3280 2618 6 1
1766 265 4 0
3157 1042 3 1
2864 1136 3 0
4741 3403 5 1
3475 95 2 1
2771 174 4 0
1751 390 5 0
2283 335 3 0
623 7 1 0
1495 27 1 0
3499 171 3 0
1639 312 4 0
2738 338 4 0
3695 1051 3 1
1933 629 2 0
2833 171 2 0
1693 720 3 0
3248 2618 6 1
1210 27 1 0
705 148 2 0
2010 295 3 0
3517 675 3 0
140 49 1 0
2356 13 1 0
2841 1091 4 0
1133 159 2 0
1223 765 4 0
236 27 1 0
1997 85 3 0
3081 227 3 0
1760 203 3 0
2811 253 2 0
676 559 4 0
1332 504 5 0
976 61 2 0
855 168 2 0
1745 27 1 0
2254 86 2 0
317 125 2 0
1735 13 1 0
1453 7 1 0
1136 164 2 0
959 163 3 0
1361 880 8 0
2795 342 4 0
4038 1180 3 0
2291 665 2 0
2577 416 4 0
869 384 2 0
1069 118 3 0
5294 3784 6 2
2957 70 2 0
3552 1039 5 1
986 494 3 1
3551 1406 5 0
1200 239 4 0
5363 4087 3 2
3004 1415 6 0
5603 4592 4 2
6714 3916 3 2
3354 2734 5 1
3422 735 4 1
1053 7 1 0
5496 1771 5 1
3379 172 2 0
1203 27 1 0
2184 748 4 0
2561 208 4 0
3060 577 4 0
372 71 2 0
2446 609 2 0
1006 27 1 0
1361 203 1 0
2173 355 2 0
829 204 1 0
2569 154 2 0
1290 774 2 0
2680 33 1 0
1039 272 4 0
4787 1360 1 1
3375 203 1 0
1351 342 5 0
3755 1206 4 1
825 701 3 0
1631 91 2 0
1342 372 6 0
1178 175 3 1
3100 1548 8 0
3080 7 1 0
2664 723 3 0
2399 290 3 0
1534 1086 4 1
5085 2413 4 2
1129 370 4 0
2536 101 2 0
418 180 3 0
3396 1088 3 1
1068 630 2 0
2397 261 3 0
891 7 1 0
1516 130 2 1
2675 1036 3 0
6642 2820 4 2
2865 629 2 0
2418 326 2 0
1781 1069 3 1
2812 13 1 1
4976 4897 1 2
2558 206 3 1
665 22 1 0
1339 27 1 0
4074 933 6 1
2988 271 2 0
2628 774 4 0
2420 260 3 0
1736 408 2 1
2748 274 4 0
2507 1289 6 1
5032 4318 7 2
2206 378 2 0
1598 132 2 0
1269 321 5 0
805 196 3 0
2561 1127 3 0
3088 134 2 0
1409 91 2 0
4079 850 4 1
2480 271 2 0
1934 765 5 0
2196 260 3 0
1461 360 1 1
3002 530 6 0
2842 1296 7 1
764 664 6 0
2615 378 2 0
2721 1237 4 0
761 321 5 0
385 27 1 0
2416 1127 3 0
4654 1681 4 1
1197 517 5 0
2906 422 3 1
1865 259 3 0
861 492 3 0
989 279 4 0
4079 1886 2 1
2295 135 3 0
3573 3133 6 1
3410 652 2 0
745 27 1 0
3085 1082 3 0
628 407 4 0
2202 53 1 1
2713 13 1 0
1794 7 1 0
1088 130 2 0
2714 422 4 0
1515 778 3 0
1428 634 2 0
3643 1297 4 1
4490 2339 6 1
4047 3971 3 1
1428 610 2 0
3022 1111 4 0
6886 5046 3 2
2474 1839 1 1
