1715 990 1 0
2827 2583 1 0
19252 16247 4 2
12064 9748 5 0
23279 22852 10 7
9639 8700 5 0
4385 3881 4 1
2934 1009 3 0
18247 15596 5 4
9087 8654 1 2
7382 4518 2 2
12221 9910 4 5
4661 2108 4 1
10549 9036 5 1
9424 7499 5 1
14194 13238 4 3
11350 8388 10 1
14125 13007 8 2
3027 2840 5 0
1759 1012 3 0
13728 12554 6 3
13415 12902 5 4
20262 17685 7 2
14072 12904 5 0
232 51 1 0
7636 5690 4 0
23248 21229 5 5
7481 5316 2 1
16232 15697 6 2
34245 32091 8 11
19617 18648 7 3
13789 11015 6 1
26413 25470 8 7
1610 1228 1 0
12677 11958 1 3
9538 9263 5 1
6156 4421 4 0
5071 4324 4 0
13644 11824 7 3
5075 4147 4 1
7401 5561 6 0
11623 9135 5 3
19401 18126 10 4
16125 14585 5 3
8566 4771 7 0
6330 4454 5 1
23099 21107 3 4
22488 21742 4 9
8710 7989 3 1
7305 6180 4 1
14204 13098 8 3
6435 5129 4 0
18154 17445 4 4
12814 10864 1 3
12576 11833 6 3
4465 2573 1 0
7855 6896 6 1
9022 7321 7 0
10784 8088 4 2
26901 25832 7 7
18071 16870 7 2
3769 33 1 0
8487 6249 6 1
32048 30227 3 8
8639 7746 2 2
5283 4213 1 1
15518 14532 5 2
6511 5741 1 1
5007 3638 6 0
2842 1008 3 0
2776 2277 7 0
10453 9062 5 2
8506 5179 7 2
3721 1008 3 0
4206 2464 1 0
10823 8811 3 2
7492 7094 5 1
7804 6239 3 1
12163 9841 4 1
5657 4292 2 2
10383 7274 3 2
7562 6778 6 2
5806 3918 4 0
6395 3985 5 1
20471 19499 3 4
6646 3796 4 1
7376 4004 1 0
1724 1156 3 0
5889 4041 7 0
3157 1010 3 1
3620 3341 6 1
11345 9866 7 2
8469 4375 5 2
4603 1412 4 0
7863 6492 4 1
11708 9618 5 2
6597 6288 3 1
8193 6641 4 1
10927 8631 1 1
2500 1008 3 0
11091 8481 6 2
8304 7179 7 2
5360 3112 2 0
7718 4788 7 1
22316 21111 7 4
7782 4601 6 1
8494 4811 3 0
2010 1559 4 0
1850 759 1 0
8045 6762 5 0
10198 8061 3 0
7180 4390 3 0
7804 6974 2 0
7929 6072 6 0
10938 9428 6 3
13655 12130 6 3
12457 12102 6 2
10352 9387 3 2
10866 8701 2 2
17439 16560 4 3
3434 1664 1 0
6895 5175 3 1
6706 5990 7 0
9043 7894 4 2
10675 9345 4 0
7811 7143 6 0
12145 10503 5 2
6559 3805 2 1
15774 15473 3 4
16265 14408 4 0
11859 10191 7 3
21815 19940 7 0
959 27 1 0
19895 19658 8 2
15828 13881 6 3
14183 13193 4 2
20102 18211 9 0
4688 2274 2 2
15746 15510 9 0
17013 14613 8 2
8036 5502 3 0
12921 12451 1 3
17125 15475 5 3
15846 12946 6 4
11890 10158 4 0
12067 10271 3 2
9099 7910 2 2
5936 3522 1 0
23759 22637 9 3
19176 18460 6 4
