Config: 
--------------------------------------------
leader L2 of team T0 discovered at 28631.000000 that M39 is in danger (after 5038ms proces-to-process, 2603ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 27314.000000 that M38 is in danger (after 1558ms proces-to-process, 915ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 25851.000000 that M37 is in danger (after 2919ms proces-to-process, 942ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 17914.000000 that M36 is in danger (after 2269ms proces-to-process, 79ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L2 of team T0 discovered at 31981.000000 that M35 is in danger (after 4106ms proces-to-process, 492ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 32655.000000 that M34 is in danger (after 2331ms proces-to-process, 1159ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 31124.000000 that M33 is in danger (after 3468ms proces-to-process, 653ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L2 of team T0 discovered at 22369.000000 that M32 is in danger (after 1263ms proces-to-process, 226ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L2 of team T0 discovered at 19273.000000 that M31 is in danger (after 1612ms proces-to-process, 301ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L2 of team T0 discovered at 29322.000000 that M30 is in danger (after 942ms proces-to-process, 208ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 20575.000000 that M5 is in danger (after 1018ms proces-to-process, 202ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 23340.000000 that M4 is in danger (after 1208ms proces-to-process, 805ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L2 of team T0 discovered at 33056.000000 that M7 is in danger (after 3233ms proces-to-process, 1700ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 27651.000000 that M6 is in danger (after 5180ms proces-to-process, 3594ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 28631.000000 that M1 is in danger (after 3787ms proces-to-process, 2402ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 22779.000000 that M0 is in danger (after 2141ms proces-to-process, 1636ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 22369.000000 that M3 is in danger (after 3606ms proces-to-process, 1619ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 34984.000000 that M2 is in danger (after 7554ms proces-to-process, 5620ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L2 of team T0 discovered at 31981.000000 that M9 is in danger (after 1623ms proces-to-process, 1232ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 20575.000000 that M8 is in danger (after 3195ms proces-to-process, 2864ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L2 of team T0 discovered at 33914.000000 that M42 is in danger (after 4063ms proces-to-process, 2465ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 26233.000000 that M43 is in danger (after 5098ms proces-to-process, 2222ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 25851.000000 that M40 is in danger (after 2586ms proces-to-process, 7ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 36113.000000 that M41 is in danger (after 8886ms proces-to-process, 7481ms node-to-node, 6hops, 4versions (12 first, 16 discovered)
leader L2 of team T0 discovered at 27651.000000 that M28 is in danger (after 2836ms proces-to-process, 572ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 25094.000000 that M29 is in danger (after 1022ms proces-to-process, 342ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 34079.000000 that M24 is in danger (after 3868ms proces-to-process, 805ms node-to-node, 2hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 31124.000000 that M25 is in danger (after 3038ms proces-to-process, 566ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 33056.000000 that M26 is in danger (after 2737ms proces-to-process, 554ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 25094.000000 that M27 is in danger (after 2268ms proces-to-process, 133ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 31124.000000 that M20 is in danger (after 2886ms proces-to-process, 776ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 19880.000000 that M21 is in danger (after 2233ms proces-to-process, 804ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 22369.000000 that M22 is in danger (after 2379ms proces-to-process, 805ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 29066.000000 that M23 is in danger (after 2339ms proces-to-process, 1595ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 26743.000000 that M44 is in danger (after 2328ms proces-to-process, 616ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 23340.000000 that M45 is in danger (after 952ms proces-to-process, 165ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 25851.000000 that M11 is in danger (after 2438ms proces-to-process, 730ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 22779.000000 that M10 is in danger (after 3061ms proces-to-process, 1648ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 23340.000000 that M13 is in danger (after 5699ms proces-to-process, 5109ms node-to-node, 6hops, 2versions (8 first, 10 discovered)
leader L2 of team T0 discovered at 28631.000000 that M12 is in danger (after 2294ms proces-to-process, 1463ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 22369.000000 that M15 is in danger (after 3299ms proces-to-process, 1537ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 21789.000000 that M14 is in danger (after 1330ms proces-to-process, 673ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
