Config: 
--------------------------------------------
leader L2 of team T0 discovered at 27314.000000 that M39 is in danger (after 3721ms proces-to-process, 1565ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 29322.000000 that M38 is in danger (after 3566ms proces-to-process, 3066ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 27314.000000 that M37 is in danger (after 4382ms proces-to-process, 2876ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 20575.000000 that M36 is in danger (after 4930ms proces-to-process, 2569ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L2 of team T0 discovered at 31981.000000 that M35 is in danger (after 4106ms proces-to-process, 733ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 31981.000000 that M34 is in danger (after 1657ms proces-to-process, 321ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 31124.000000 that M33 is in danger (after 3468ms proces-to-process, 997ms node-to-node, 9hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 23545.000000 that M32 is in danger (after 2439ms proces-to-process, 1429ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L2 of team T0 discovered at 20575.000000 that M31 is in danger (after 2830ms proces-to-process, 87ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 29322.000000 that M30 is in danger (after 942ms proces-to-process, 244ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 21789.000000 that M5 is in danger (after 2232ms proces-to-process, 1662ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 24551.000000 that M4 is in danger (after 2419ms proces-to-process, 2076ms node-to-node, 9hops, 1versions (10 first, 11 discovered)
leader L2 of team T0 discovered at 34984.000000 that M7 is in danger (after 5161ms proces-to-process, 3479ms node-to-node, 12hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 31124.000000 that M6 is in danger (after 8653ms proces-to-process, 7147ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 29322.000000 that M1 is in danger (after 4478ms proces-to-process, 3499ms node-to-node, 7hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 25094.000000 that M0 is in danger (after 4456ms proces-to-process, 3533ms node-to-node, 9hops, 1versions (9 first, 10 discovered)
leader L2 of team T0 never discovered that M3 is in danger from 18763.
leader L2 of team T0 discovered at 31981.000000 that M2 is in danger (after 4551ms proces-to-process, 1968ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 34079.000000 that M9 is in danger (after 3721ms proces-to-process, 3435ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L2 of team T0 discovered at 27651.000000 that M8 is in danger (after 10271ms proces-to-process, 9984ms node-to-node, 11hops, 3versions (8 first, 11 discovered)
leader L2 of team T0 discovered at 32655.000000 that M42 is in danger (after 2804ms proces-to-process, 1645ms node-to-node, 9hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 27314.000000 that M43 is in danger (after 6179ms proces-to-process, 3094ms node-to-node, 6hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 28631.000000 that M40 is in danger (after 5366ms proces-to-process, 2594ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 29867.000000 that M41 is in danger (after 2640ms proces-to-process, 1142ms node-to-node, 10hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 29867.000000 that M28 is in danger (after 5052ms proces-to-process, 2432ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 28631.000000 that M29 is in danger (after 4559ms proces-to-process, 3752ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 35538.000000 that M24 is in danger (after 5327ms proces-to-process, 2359ms node-to-node, 9hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 31124.000000 that M25 is in danger (after 3038ms proces-to-process, 380ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
