Config: 
--------------------------------------------
leader L2 of team T0 discovered at 26743.000000 that M16 is in danger (after 5311ms proces-to-process, 1530ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L2 of team T0 discovered at 32655.000000 that M19 is in danger (after 3494ms proces-to-process, 1943ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 19880.000000 that M18 is in danger (after 3628ms proces-to-process, 2819ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L3 of team T0 discovered at 35988.000000 that M39 is in danger (after 12395ms proces-to-process, 10413ms node-to-node, 2hops, 5versions (12 first, 17 discovered)
leader L3 of team T0 discovered at 27481.000000 that M38 is in danger (after 1725ms proces-to-process, 1435ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 25326.000000 that M37 is in danger (after 2394ms proces-to-process, 358ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L3 of team T0 discovered at 19992.000000 that M36 is in danger (after 4347ms proces-to-process, 2081ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L3 of team T0 discovered at 43199.000000 that M35 is in danger (after 15324ms proces-to-process, 11907ms node-to-node, 5hops, 6versions (14 first, 20 discovered)
leader L3 of team T0 discovered at 35475.000000 that M34 is in danger (after 5151ms proces-to-process, 3577ms node-to-node, 2hops, 2versions (14 first, 16 discovered)
leader L3 of team T0 discovered at 30058.000000 that M33 is in danger (after 2402ms proces-to-process, 509ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 24644.000000 that M32 is in danger (after 3538ms proces-to-process, 2601ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L3 of team T0 discovered at 21884.000000 that M31 is in danger (after 4139ms proces-to-process, 1299ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 31084.000000 that M30 is in danger (after 2704ms proces-to-process, 2119ms node-to-node, 6hops, 1versions (13 first, 14 discovered)
leader L3 of team T0 discovered at 24334.000000 that M5 is in danger (after 4777ms proces-to-process, 4541ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 35475.000000 that M4 is in danger (after 13343ms proces-to-process, 10078ms node-to-node, 3hops, 5versions (11 first, 16 discovered)
leader L3 of team T0 discovered at 40408.000000 that M7 is in danger (after 10585ms proces-to-process, 8864ms node-to-node, 7hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 25326.000000 that M6 is in danger (after 2855ms proces-to-process, 1428ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 26873.000000 that M1 is in danger (after 2029ms proces-to-process, 1003ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L3 of team T0 discovered at 26445.000000 that M0 is in danger (after 5807ms proces-to-process, 5110ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L3 of team T0 discovered at 27481.000000 that M3 is in danger (after 8718ms proces-to-process, 7168ms node-to-node, 4hops, 3versions (9 first, 12 discovered)
leader L3 of team T0 discovered at 32286.000000 that M2 is in danger (after 4856ms proces-to-process, 2398ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L3 of team T0 discovered at 38820.000000 that M9 is in danger (after 8462ms proces-to-process, 8240ms node-to-node, 5hops, 4versions (13 first, 17 discovered)
leader L3 of team T0 discovered at 21884.000000 that M8 is in danger (after 4504ms proces-to-process, 3695ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L3 of team T0 discovered at 32793.000000 that M42 is in danger (after 2942ms proces-to-process, 1913ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L3 of team T0 discovered at 28042.000000 that M43 is in danger (after 6907ms proces-to-process, 3696ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L3 of team T0 discovered at 28042.000000 that M40 is in danger (after 4777ms proces-to-process, 2077ms node-to-node, 2hops, 1versions (12 first, 13 discovered)
leader L3 of team T0 discovered at 32793.000000 that M41 is in danger (after 5566ms proces-to-process, 4084ms node-to-node, 3hops, 2versions (12 first, 14 discovered)
