Config: 
--------------------------------------------
leader L2 of team T0 discovered at 26743.000000 that M39 is in danger (after 3150ms proces-to-process, 996ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 26233.000000 that M38 is in danger (after 477ms proces-to-process, 27ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 27651.000000 that M37 is in danger (after 4719ms proces-to-process, 3216ms node-to-node, 2hops, 2versions (11 first, 13 discovered)
leader L2 of team T0 discovered at 19056.000000 that M36 is in danger (after 3411ms proces-to-process, 818ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L2 of team T0 discovered at 33056.000000 that M35 is in danger (after 5181ms proces-to-process, 1726ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 31981.000000 that M34 is in danger (after 1657ms proces-to-process, 360ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 31124.000000 that M33 is in danger (after 3468ms proces-to-process, 1310ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 23340.000000 that M32 is in danger (after 2234ms proces-to-process, 979ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L2 of team T0 discovered at 21789.000000 that M31 is in danger (after 4044ms proces-to-process, 1086ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 29867.000000 that M30 is in danger (after 1487ms proces-to-process, 782ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 21055.000000 that M5 is in danger (after 1498ms proces-to-process, 1148ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 23340.000000 that M4 is in danger (after 1208ms proces-to-process, 808ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L2 of team T0 discovered at 32655.000000 that M7 is in danger (after 2832ms proces-to-process, 924ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 25094.000000 that M6 is in danger (after 2623ms proces-to-process, 735ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 26743.000000 that M1 is in danger (after 1899ms proces-to-process, 898ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 21789.000000 that M0 is in danger (after 1151ms proces-to-process, 487ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L2 of team T0 discovered at 23545.000000 that M3 is in danger (after 4782ms proces-to-process, 3278ms node-to-node, 3hops, 2versions (9 first, 11 discovered)
leader L2 of team T0 discovered at 31124.000000 that M2 is in danger (after 3694ms proces-to-process, 1179ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 31981.000000 that M9 is in danger (after 1623ms proces-to-process, 631ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 19273.000000 that M8 is in danger (after 1893ms proces-to-process, 1863ms node-to-node, 8hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 33056.000000 that M42 is in danger (after 3205ms proces-to-process, 2135ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 24551.000000 that M43 is in danger (after 3416ms proces-to-process, 350ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 27314.000000 that M40 is in danger (after 4049ms proces-to-process, 1228ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 29322.000000 that M41 is in danger (after 2095ms proces-to-process, 971ms node-to-node, 3hops, 1versions (12 first, 13 discovered)
leader L2 of team T0 discovered at 27314.000000 that M28 is in danger (after 2499ms proces-to-process, 20ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L2 of team T0 discovered at 25851.000000 that M29 is in danger (after 1779ms proces-to-process, 658ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 33914.000000 that M24 is in danger (after 3703ms proces-to-process, 435ms node-to-node, 2hops, 0versions (15 first, 15 discovered)
leader L2 of team T0 discovered at 31124.000000 that M25 is in danger (after 3038ms proces-to-process, 540ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L2 of team T0 discovered at 33056.000000 that M26 is in danger (after 2737ms proces-to-process, 538ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L2 of team T0 discovered at 25094.000000 that M27 is in danger (after 2268ms proces-to-process, 100ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L2 of team T0 discovered at 31981.000000 that M20 is in danger (after 3743ms proces-to-process, 1163ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L2 of team T0 discovered at 19880.000000 that M21 is in danger (after 2233ms proces-to-process, 1299ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L2 of team T0 discovered at 22369.000000 that M22 is in danger (after 2379ms proces-to-process, 944ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
