Config: 
--------------------------------------------
leader L12 of team T6 discovered at 28381.000000 that M124 is in danger (after 2377ms proces-to-process, 802ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 27028.000000 that M125 is in danger (after 3394ms proces-to-process, 1406ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 28987.000000 that M126 is in danger (after 2578ms proces-to-process, 1008ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 19352.000000 that M116 is in danger (after 1424ms proces-to-process, 137ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 31925.000000 that M119 is in danger (after 5879ms proces-to-process, 2147ms node-to-node, 2hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 30757.000000 that M118 is in danger (after 3467ms proces-to-process, 673ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 19352.000000 that M122 is in danger (after 3305ms proces-to-process, 1680ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 26476.000000 that M123 is in danger (after 3222ms proces-to-process, 1080ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 30757.000000 that M115 is in danger (after 725ms proces-to-process, 253ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 19828.000000 that M114 is in danger (after 2484ms proces-to-process, 1082ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 23014.000000 that M108 is in danger (after 4420ms proces-to-process, 1875ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 19828.000000 that M109 is in danger (after 3489ms proces-to-process, 1762ms node-to-node, 9hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 28381.000000 that M128 is in danger (after 7351ms proces-to-process, 6351ms node-to-node, 5hops, 2versions (10 first, 12 discovered)
leader L12 of team T6 discovered at 21996.000000 that M129 is in danger (after 2530ms proces-to-process, 1147ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 32739.000000 that M113 is in danger (after 3584ms proces-to-process, 1854ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 25148.000000 that M112 is in danger (after 2805ms proces-to-process, 344ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 27028.000000 that M120 is in danger (after 2917ms proces-to-process, 7ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L12 of team T6 discovered at 20253.000000 that M130 is in danger (after 1896ms proces-to-process, 1491ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 28381.000000 that M117 is in danger (after 3832ms proces-to-process, 629ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 30369.000000 that M121 is in danger (after 1724ms proces-to-process, 1203ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 27770.000000 that M124 is in danger (after 1766ms proces-to-process, 87ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 25537.000000 that M125 is in danger (after 1903ms proces-to-process, 55ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 28519.000000 that M126 is in danger (after 2110ms proces-to-process, 140ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 21101.000000 that M116 is in danger (after 3173ms proces-to-process, 2039ms node-to-node, 8hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 30061.000000 that M119 is in danger (after 4015ms proces-to-process, 759ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 30655.000000 that M118 is in danger (after 3365ms proces-to-process, 264ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 19104.000000 that M122 is in danger (after 3057ms proces-to-process, 1705ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L13 of team T6 discovered at 25537.000000 that M123 is in danger (after 2283ms proces-to-process, 178ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 32376.000000 that M115 is in danger (after 2344ms proces-to-process, 2134ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 22669.000000 that M114 is in danger (after 5325ms proces-to-process, 3862ms node-to-node, 4hops, 2versions (8 first, 10 discovered)
leader L13 of team T6 discovered at 21977.000000 that M108 is in danger (after 3383ms proces-to-process, 778ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 25537.000000 that M109 is in danger (after 9198ms proces-to-process, 7834ms node-to-node, 7hops, 4versions (7 first, 11 discovered)
