Config: 
--------------------------------------------
leader L4 of team T2 discovered at 25449.000000 that M52 is in danger (after 1736ms proces-to-process, 601ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 21568.000000 that M48 is in danger (after 1775ms proces-to-process, 543ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 22810.000000 that M49 is in danger (after 4211ms proces-to-process, 1245ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 25449.000000 that M51 is in danger (after 4780ms proces-to-process, 1930ms node-to-node, 7hops, 1versions (10 first, 11 discovered)
leader L4 of team T2 discovered at 19629.000000 that M50 is in danger (after 2628ms proces-to-process, 865ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 32727.000000 that M39 is in danger (after 9134ms proces-to-process, 7200ms node-to-node, 6hops, 3versions (12 first, 15 discovered)
leader L4 of team T2 discovered at 29734.000000 that M38 is in danger (after 3978ms proces-to-process, 3264ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 25449.000000 that M37 is in danger (after 2517ms proces-to-process, 793ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 18610.000000 that M36 is in danger (after 2965ms proces-to-process, 436ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L4 of team T2 never discovered that M40 is in danger from 23265.
leader L4 of team T2 discovered at 29734.000000 that M41 is in danger (after 2507ms proces-to-process, 759ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 26687.000000 that M46 is in danger (after 1184ms proces-to-process, 529ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 19629.000000 that M47 is in danger (after 2206ms proces-to-process, 338ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 26804.000000 that M44 is in danger (after 2389ms proces-to-process, 919ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 23975.000000 that M45 is in danger (after 1587ms proces-to-process, 1222ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 34474.000000 that M42 is in danger (after 4623ms proces-to-process, 3037ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L4 of team T2 discovered at 28754.000000 that M57 is in danger (after 2872ms proces-to-process, 2759ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 18235.000000 that M53 is in danger (after 2561ms proces-to-process, 871ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 20077.000000 that M54 is in danger (after 1564ms proces-to-process, 120ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 25449.000000 that M43 is in danger (after 4314ms proces-to-process, 712ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 25174.000000 that M52 is in danger (after 1461ms proces-to-process, 559ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 21693.000000 that M48 is in danger (after 1900ms proces-to-process, 454ms node-to-node, 2hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 22678.000000 that M49 is in danger (after 4079ms proces-to-process, 603ms node-to-node, 1hops, 1versions (9 first, 10 discovered)
leader L5 of team T2 discovered at 24748.000000 that M51 is in danger (after 4079ms proces-to-process, 1834ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L5 of team T2 discovered at 18935.000000 that M50 is in danger (after 1934ms proces-to-process, 7ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 33065.000000 that M39 is in danger (after 9472ms proces-to-process, 7133ms node-to-node, 5hops, 3versions (12 first, 15 discovered)
leader L5 of team T2 discovered at 27136.000000 that M38 is in danger (after 1380ms proces-to-process, 501ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 25174.000000 that M37 is in danger (after 2242ms proces-to-process, 793ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L5 of team T2 discovered at 18935.000000 that M36 is in danger (after 3290ms proces-to-process, 343ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L5 of team T2 never discovered that M40 is in danger from 23265.
leader L5 of team T2 discovered at 29081.000000 that M41 is in danger (after 1854ms proces-to-process, 723ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 26267.000000 that M46 is in danger (after 764ms proces-to-process, 373ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L5 of team T2 discovered at 20038.000000 that M47 is in danger (after 2615ms proces-to-process, 264ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 27136.000000 that M44 is in danger (after 2721ms proces-to-process, 895ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 22866.000000 that M45 is in danger (after 478ms proces-to-process, 118ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L5 of team T2 discovered at 32174.000000 that M42 is in danger (after 2323ms proces-to-process, 1222ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L5 of team T2 discovered at 28733.000000 that M57 is in danger (after 2851ms proces-to-process, 2759ms node-to-node, 1hops, 1versions (12 first, 13 discovered)
leader L5 of team T2 discovered at 18090.000000 that M53 is in danger (after 2416ms proces-to-process, 884ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L5 of team T2 discovered at 20038.000000 that M54 is in danger (after 1525ms proces-to-process, 7ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L5 of team T2 discovered at 24748.000000 that M43 is in danger (after 3613ms proces-to-process, 630ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L6 of team T3 discovered at 18291.000000 that M55 is in danger (after 2036ms proces-to-process, 1437ms node-to-node, 7hops, 0versions (7 first, 7 discovered)
leader L6 of team T3 discovered at 27130.000000 that M60 is in danger (after 1694ms proces-to-process, 1037ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 20347.000000 that M62 is in danger (after 2266ms proces-to-process, 69ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L6 of team T3 discovered at 21425.000000 that M56 is in danger (after 2303ms proces-to-process, 706ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
