Config: 
--------------------------------------------
leader L16 of team T8 discovered at 18473.000000 that M160 is in danger (after 2825ms proces-to-process, 114ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 21730.000000 that M161 is in danger (after 2010ms proces-to-process, 131ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 23458.000000 that M162 is in danger (after 1415ms proces-to-process, 1326ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 18762.000000 that M164 is in danger (after 1823ms proces-to-process, 691ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 24790.000000 that M153 is in danger (after 4385ms proces-to-process, 4181ms node-to-node, 4hops, 2versions (9 first, 11 discovered)
leader L16 of team T8 discovered at 26757.000000 that M151 is in danger (after 884ms proces-to-process, 590ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 21730.000000 that M150 is in danger (after 541ms proces-to-process, 154ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 31784.000000 that M144 is in danger (after 3210ms proces-to-process, 275ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 29377.000000 that M152 is in danger (after 889ms proces-to-process, 27ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 21937.000000 that M155 is in danger (after 702ms proces-to-process, 7ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 25269.000000 that M154 is in danger (after 2380ms proces-to-process, 287ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 24790.000000 that M156 is in danger (after 1183ms proces-to-process, 80ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 20199.000000 that M159 is in danger (after 3470ms proces-to-process, 104ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 20199.000000 that M158 is in danger (after 1579ms proces-to-process, 367ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 25269.000000 that M148 is in danger (after 927ms proces-to-process, 438ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 24790.000000 that M149 is in danger (after 1759ms proces-to-process, 870ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 18714.000000 that M160 is in danger (after 3066ms proces-to-process, 361ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 discovered at 21807.000000 that M161 is in danger (after 2087ms proces-to-process, 340ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
