Config: 
--------------------------------------------
leader L16 of team T8 discovered at 26757.000000 that M151 is in danger (after 944ms proces-to-process, 731ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 22739.000000 that M150 is in danger (after 1550ms proces-to-process, 699ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 never discovered that M153 is in danger from 20405.
leader L16 of team T8 discovered at 30203.000000 that M152 is in danger (after 1715ms proces-to-process, 1090ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 29377.000000 that M155 is in danger (after 8142ms proces-to-process, 7116ms node-to-node, 3hops, 3versions (10 first, 13 discovered)
leader L16 of team T8 discovered at 24790.000000 that M154 is in danger (after 1901ms proces-to-process, 13ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 28599.000000 that M156 is in danger (after 4992ms proces-to-process, 3609ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 19167.000000 that M159 is in danger (after 2438ms proces-to-process, 7ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 20199.000000 that M158 is in danger (after 1579ms proces-to-process, 792ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 32313.000000 that M146 is in danger (after 2510ms proces-to-process, 425ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 25638.000000 that M147 is in danger (after 3643ms proces-to-process, 610ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 31784.000000 that M144 is in danger (after 3210ms proces-to-process, 803ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 30694.000000 that M145 is in danger (after 3571ms proces-to-process, 1166ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 never discovered that M148 is in danger from 24342.
leader L16 of team T8 discovered at 24790.000000 that M149 is in danger (after 1759ms proces-to-process, 805ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 19167.000000 that M160 is in danger (after 3519ms proces-to-process, 849ms node-to-node, 5hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 21730.000000 that M161 is in danger (after 2010ms proces-to-process, 244ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 22739.000000 that M162 is in danger (after 696ms proces-to-process, 585ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 30203.000000 that M163 is in danger (after 1051ms proces-to-process, 7ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 18473.000000 that M164 is in danger (after 1534ms proces-to-process, 7ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 20199.000000 that M166 is in danger (after 2233ms proces-to-process, 365ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 27484.000000 that M151 is in danger (after 1671ms proces-to-process, 1517ms node-to-node, 10hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 23067.000000 that M150 is in danger (after 1878ms proces-to-process, 1145ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 never discovered that M153 is in danger from 20405.
leader L17 of team T8 discovered at 31150.000000 that M152 is in danger (after 2662ms proces-to-process, 1623ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 29094.000000 that M155 is in danger (after 7859ms proces-to-process, 6583ms node-to-node, 7hops, 2versions (10 first, 12 discovered)
leader L17 of team T8 discovered at 25952.000000 that M154 is in danger (after 3063ms proces-to-process, 1165ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 29897.000000 that M156 is in danger (after 6290ms proces-to-process, 5284ms node-to-node, 9hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 21807.000000 that M159 is in danger (after 5078ms proces-to-process, 2421ms node-to-node, 8hops, 1versions (8 first, 9 discovered)
leader L17 of team T8 discovered at 20247.000000 that M158 is in danger (after 1627ms proces-to-process, 175ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 33234.000000 that M146 is in danger (after 3431ms proces-to-process, 1257ms node-to-node, 8hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 25602.000000 that M147 is in danger (after 3607ms proces-to-process, 690ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 32568.000000 that M144 is in danger (after 3994ms proces-to-process, 1655ms node-to-node, 10hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 31150.000000 that M145 is in danger (after 4027ms proces-to-process, 1635ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 never discovered that M148 is in danger from 24342.
leader L17 of team T8 discovered at 24509.000000 that M149 is in danger (after 1478ms proces-to-process, 685ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 23699.000000 that M160 is in danger (after 8051ms proces-to-process, 5375ms node-to-node, 7hops, 2versions (7 first, 9 discovered)
leader L17 of team T8 discovered at 21807.000000 that M161 is in danger (after 2087ms proces-to-process, 263ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 22461.000000 that M162 is in danger (after 418ms proces-to-process, 151ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 31150.000000 that M163 is in danger (after 1998ms proces-to-process, 543ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 18373.000000 that M164 is in danger (after 1434ms proces-to-process, 300ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 20247.000000 that M166 is in danger (after 2281ms proces-to-process, 226ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L18 of team T9 discovered at 29108.000000 that M168 is in danger (after 1346ms proces-to-process, 199ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L18 of team T9 discovered at 26434.000000 that M169 is in danger (after 748ms proces-to-process, 289ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 24985.000000 that M179 is in danger (after 2033ms proces-to-process, 315ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 24784.000000 that M178 is in danger (after 747ms proces-to-process, 7ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 28095.000000 that M173 is in danger (after 1724ms proces-to-process, 27ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 20053.000000 that M172 is in danger (after 1068ms proces-to-process, 292ms node-to-node, 2hops, 1versions (8 first, 9 discovered)
leader L18 of team T9 discovered at 22086.000000 that M171 is in danger (after 5427ms proces-to-process, 4426ms node-to-node, 8hops, 1versions (8 first, 9 discovered)
leader L18 of team T9 discovered at 31520.000000 that M170 is in danger (after 3994ms proces-to-process, 1114ms node-to-node, 8hops, 1versions (13 first, 14 discovered)
leader L18 of team T9 discovered at 24060.000000 that M177 is in danger (after 2257ms proces-to-process, 1033ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L18 of team T9 discovered at 32967.000000 that M165 is in danger (after 2545ms proces-to-process, 387ms node-to-node, 6hops, 1versions (14 first, 15 discovered)
leader L18 of team T9 discovered at 31970.000000 that M175 is in danger (after 4903ms proces-to-process, 1038ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L18 of team T9 discovered at 27015.000000 that M167 is in danger (after 1825ms proces-to-process, 145ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 28095.000000 that M181 is in danger (after 2758ms proces-to-process, 60ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
