Config: 
--------------------------------------------
leader L6 of team T3 discovered at 30135.000000 that M66 is in danger (after 1917ms proces-to-process, 130ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 32297.000000 that M61 is in danger (after 2295ms proces-to-process, 441ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L6 of team T3 discovered at 23009.000000 that M68 is in danger (after 285ms proces-to-process, 58ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 23009.000000 that M69 is in danger (after 2516ms proces-to-process, 27ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 never discovered that M67 is in danger from 19602.
leader L6 of team T3 discovered at 32297.000000 that M59 is in danger (after 5247ms proces-to-process, 2942ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L6 of team T3 discovered at 29275.000000 that M71 is in danger (after 2202ms proces-to-process, 174ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L6 of team T3 never discovered that M72 is in danger from 29584.
leader L6 of team T3 discovered at 23903.000000 that M73 is in danger (after 1999ms proces-to-process, 410ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 23399.000000 that M70 is in danger (after 1088ms proces-to-process, 107ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L6 of team T3 discovered at 23903.000000 that M75 is in danger (after 1935ms proces-to-process, 102ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L6 of team T3 discovered at 27688.000000 that M64 is in danger (after 678ms proces-to-process, 7ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L6 of team T3 discovered at 26297.000000 that M74 is in danger (after 2650ms proces-to-process, 414ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L6 of team T3 discovered at 29275.000000 that M76 is in danger (after 3995ms proces-to-process, 221ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L7 of team T3 discovered at 17148.000000 that M55 is in danger (after 893ms proces-to-process, 27ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L7 of team T3 discovered at 19766.000000 that M54 is in danger (after 1253ms proces-to-process, 101ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L7 of team T3 discovered at 20710.000000 that M62 is in danger (after 2629ms proces-to-process, 199ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L7 of team T3 discovered at 26262.000000 that M63 is in danger (after 1759ms proces-to-process, 83ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 31240.000000 that M60 is in danger (after 5804ms proces-to-process, 5263ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L7 of team T3 discovered at 28519.000000 that M65 is in danger (after 3211ms proces-to-process, 2262ms node-to-node, 5hops, 1versions (12 first, 13 discovered)
leader L7 of team T3 discovered at 31240.000000 that M66 is in danger (after 3022ms proces-to-process, 665ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 32446.000000 that M61 is in danger (after 2444ms proces-to-process, 723ms node-to-node, 8hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 22983.000000 that M68 is in danger (after 259ms proces-to-process, 135ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 26262.000000 that M69 is in danger (after 5769ms proces-to-process, 3199ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L7 of team T3 never discovered that M67 is in danger from 19602.
leader L7 of team T3 discovered at 29483.000000 that M59 is in danger (after 2433ms proces-to-process, 7ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L7 of team T3 discovered at 29483.000000 that M71 is in danger (after 2410ms proces-to-process, 336ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 never discovered that M72 is in danger from 29584.
leader L7 of team T3 discovered at 23612.000000 that M73 is in danger (after 1708ms proces-to-process, 330ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 23612.000000 that M70 is in danger (after 1301ms proces-to-process, 280ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L7 of team T3 discovered at 25198.000000 that M75 is in danger (after 3230ms proces-to-process, 1108ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L7 of team T3 discovered at 29483.000000 that M64 is in danger (after 2473ms proces-to-process, 1646ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L7 of team T3 discovered at 26262.000000 that M74 is in danger (after 2615ms proces-to-process, 501ms node-to-node, 6hops, 0versions (12 first, 12 discovered)
leader L7 of team T3 discovered at 29483.000000 that M76 is in danger (after 4203ms proces-to-process, 321ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L0 of team T0 discovered at 25671.000000 that M11 is in danger (after 2258ms proces-to-process, 812ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L0 of team T0 discovered at 19212.000000 that M21 is in danger (after 1565ms proces-to-process, 232ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L0 of team T0 discovered at 31821.000000 that M17 is in danger (after 3409ms proces-to-process, 1620ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
