Config: 
--------------------------------------------
leader L12 of team T6 discovered at 27496.000000 that M124 is in danger (after 1492ms proces-to-process, 119ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 26476.000000 that M125 is in danger (after 2842ms proces-to-process, 712ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 28738.000000 that M126 is in danger (after 2329ms proces-to-process, 759ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 21133.000000 that M127 is in danger (after 1965ms proces-to-process, 857ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 29947.000000 that M119 is in danger (after 3901ms proces-to-process, 192ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 30369.000000 that M118 is in danger (after 3079ms proces-to-process, 152ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 17760.000000 that M122 is in danger (after 1713ms proces-to-process, 75ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 25749.000000 that M123 is in danger (after 2495ms proces-to-process, 326ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 31011.000000 that M115 is in danger (after 979ms proces-to-process, 609ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 18632.000000 that M114 is in danger (after 1288ms proces-to-process, 59ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 28381.000000 that M117 is in danger (after 3832ms proces-to-process, 7ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 19828.000000 that M116 is in danger (after 1900ms proces-to-process, 692ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 26476.000000 that M111 is in danger (after 6912ms proces-to-process, 3707ms node-to-node, 6hops, 2versions (10 first, 12 discovered)
leader L12 of team T6 discovered at 31011.000000 that M110 is in danger (after 435ms proces-to-process, 203ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 31011.000000 that M113 is in danger (after 1856ms proces-to-process, 13ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 25148.000000 that M112 is in danger (after 2805ms proces-to-process, 369ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 22542.000000 that M128 is in danger (after 1512ms proces-to-process, 516ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 27496.000000 that M120 is in danger (after 3385ms proces-to-process, 609ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L12 of team T6 discovered at 21996.000000 that M129 is in danger (after 2530ms proces-to-process, 1282ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 28987.000000 that M121 is in danger (after 342ms proces-to-process, 27ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 29273.000000 that M124 is in danger (after 3269ms proces-to-process, 1797ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 26038.000000 that M125 is in danger (after 2404ms proces-to-process, 325ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 29521.000000 that M126 is in danger (after 3112ms proces-to-process, 1419ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 21547.000000 that M127 is in danger (after 2379ms proces-to-process, 1168ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 29521.000000 that M119 is in danger (after 3475ms proces-to-process, 134ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 38322.000000 that M118 is in danger (after 11032ms proces-to-process, 8276ms node-to-node, 3hops, 4versions (14 first, 18 discovered)
leader L13 of team T6 discovered at 18839.000000 that M122 is in danger (after 2792ms proces-to-process, 1452ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L13 of team T6 discovered at 25537.000000 that M123 is in danger (after 2283ms proces-to-process, 391ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 32376.000000 that M115 is in danger (after 2344ms proces-to-process, 1748ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 19104.000000 that M114 is in danger (after 1760ms proces-to-process, 516ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 28048.000000 that M117 is in danger (after 3499ms proces-to-process, 248ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 19104.000000 that M116 is in danger (after 1176ms proces-to-process, 87ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 22669.000000 that M111 is in danger (after 3105ms proces-to-process, 100ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 32376.000000 that M110 is in danger (after 1800ms proces-to-process, 1549ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 31893.000000 that M113 is in danger (after 2738ms proces-to-process, 513ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 24997.000000 that M112 is in danger (after 2654ms proces-to-process, 111ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 22669.000000 that M128 is in danger (after 1639ms proces-to-process, 639ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 28519.000000 that M120 is in danger (after 4408ms proces-to-process, 1745ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L13 of team T6 discovered at 20521.000000 that M129 is in danger (after 1055ms proces-to-process, 238ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 31893.000000 that M121 is in danger (after 3248ms proces-to-process, 2495ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L14 of team T7 discovered at 29729.000000 that M137 is in danger (after 1850ms proces-to-process, 752ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
