Config: 
--------------------------------------------
leader L12 of team T6 discovered at 27496.000000 that M124 is in danger (after 1492ms proces-to-process, 231ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 28738.000000 that M125 is in danger (after 5104ms proces-to-process, 3064ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L12 of team T6 discovered at 28738.000000 that M126 is in danger (after 2329ms proces-to-process, 472ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 20253.000000 that M127 is in danger (after 1085ms proces-to-process, 203ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 31925.000000 that M119 is in danger (after 5879ms proces-to-process, 2105ms node-to-node, 7hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 30757.000000 that M118 is in danger (after 3467ms proces-to-process, 869ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 18632.000000 that M122 is in danger (after 2585ms proces-to-process, 545ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 25749.000000 that M123 is in danger (after 2495ms proces-to-process, 439ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 31925.000000 that M115 is in danger (after 1893ms proces-to-process, 1287ms node-to-node, 10hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 19352.000000 that M114 is in danger (after 2008ms proces-to-process, 713ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 28381.000000 that M117 is in danger (after 3832ms proces-to-process, 7ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 18929.000000 that M116 is in danger (after 1001ms proces-to-process, 7ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 31925.000000 that M110 is in danger (after 1349ms proces-to-process, 992ms node-to-node, 3hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 31925.000000 that M113 is in danger (after 2770ms proces-to-process, 154ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 25148.000000 that M112 is in danger (after 2805ms proces-to-process, 390ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 29947.000000 that M120 is in danger (after 5836ms proces-to-process, 2698ms node-to-node, 8hops, 1versions (12 first, 13 discovered)
leader L12 of team T6 discovered at 19828.000000 that M130 is in danger (after 1471ms proces-to-process, 887ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 29947.000000 that M121 is in danger (after 1302ms proces-to-process, 168ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 28048.000000 that M124 is in danger (after 2044ms proces-to-process, 763ms node-to-node, 11hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 26791.000000 that M125 is in danger (after 3157ms proces-to-process, 1215ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 29273.000000 that M126 is in danger (after 2864ms proces-to-process, 736ms node-to-node, 8hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 21547.000000 that M127 is in danger (after 2379ms proces-to-process, 1462ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 30655.000000 that M119 is in danger (after 4609ms proces-to-process, 1185ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 40463.000000 that M118 is in danger (after 13173ms proces-to-process, 10498ms node-to-node, 3hops, 5versions (14 first, 19 discovered)
leader L13 of team T6 discovered at 18173.000000 that M122 is in danger (after 2126ms proces-to-process, 630ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 28048.000000 that M123 is in danger (after 4794ms proces-to-process, 2662ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 32376.000000 that M115 is in danger (after 2344ms proces-to-process, 2132ms node-to-node, 10hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 18839.000000 that M114 is in danger (after 1495ms proces-to-process, 56ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 28519.000000 that M117 is in danger (after 3970ms proces-to-process, 710ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 20282.000000 that M116 is in danger (after 2354ms proces-to-process, 1261ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 31164.000000 that M110 is in danger (after 588ms proces-to-process, 72ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 31164.000000 that M113 is in danger (after 2009ms proces-to-process, 220ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 25537.000000 that M112 is in danger (after 3194ms proces-to-process, 518ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 29521.000000 that M120 is in danger (after 5410ms proces-to-process, 2724ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
