Config: 
--------------------------------------------
leader L16 of team T8 discovered at 30203.000000 that M152 is in danger (after 1715ms proces-to-process, 1037ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 20199.000000 that M160 is in danger (after 4551ms proces-to-process, 1067ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 22739.000000 that M161 is in danger (after 3019ms proces-to-process, 610ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 24016.000000 that M162 is in danger (after 1973ms proces-to-process, 1640ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 31784.000000 that M163 is in danger (after 2508ms proces-to-process, 632ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 33638.000000 that M165 is in danger (after 3216ms proces-to-process, 731ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L16 of team T8 discovered at 20517.000000 that M166 is in danger (after 2551ms proces-to-process, 704ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 26200.000000 that M151 is in danger (after 327ms proces-to-process, 106ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 21730.000000 that M150 is in danger (after 541ms proces-to-process, 94ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 21730.000000 that M153 is in danger (after 1325ms proces-to-process, 757ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 29377.000000 that M145 is in danger (after 2254ms proces-to-process, 33ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 21937.000000 that M155 is in danger (after 702ms proces-to-process, 175ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 26200.000000 that M154 is in danger (after 3311ms proces-to-process, 1529ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 30694.000000 that M156 is in danger (after 7087ms proces-to-process, 5883ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L16 of team T8 discovered at 20517.000000 that M159 is in danger (after 3788ms proces-to-process, 1319ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 20517.000000 that M158 is in danger (after 1897ms proces-to-process, 1111ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 25269.000000 that M148 is in danger (after 927ms proces-to-process, 630ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 23458.000000 that M149 is in danger (after 427ms proces-to-process, 27ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 30518.000000 that M152 is in danger (after 2030ms proces-to-process, 1036ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 18373.000000 that M160 is in danger (after 2725ms proces-to-process, 130ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 discovered at 21416.000000 that M161 is in danger (after 1696ms proces-to-process, 27ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 22461.000000 that M162 is in danger (after 418ms proces-to-process, 7ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 35708.000000 that M163 is in danger (after 6432ms proces-to-process, 4730ms node-to-node, 3hops, 2versions (14 first, 16 discovered)
leader L17 of team T8 discovered at 33234.000000 that M165 is in danger (after 2812ms proces-to-process, 630ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 20247.000000 that M166 is in danger (after 2281ms proces-to-process, 13ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 27484.000000 that M151 is in danger (after 1611ms proces-to-process, 1074ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 23067.000000 that M150 is in danger (after 1878ms proces-to-process, 1638ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 24509.000000 that M153 is in danger (after 4104ms proces-to-process, 3674ms node-to-node, 3hops, 1versions (9 first, 10 discovered)
leader L17 of team T8 discovered at 30518.000000 that M145 is in danger (after 3395ms proces-to-process, 844ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 37467.000000 that M155 is in danger (after 16232ms proces-to-process, 15217ms node-to-node, 4hops, 7versions (10 first, 17 discovered)
leader L17 of team T8 discovered at 31667.000000 that M154 is in danger (after 8778ms proces-to-process, 6936ms node-to-node, 4hops, 3versions (11 first, 14 discovered)
leader L17 of team T8 discovered at 37977.000000 that M156 is in danger (after 14370ms proces-to-process, 13025ms node-to-node, 5hops, 6versions (11 first, 17 discovered)
leader L17 of team T8 discovered at 21807.000000 that M159 is in danger (after 5078ms proces-to-process, 2369ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L17 of team T8 discovered at 20637.000000 that M158 is in danger (after 2017ms proces-to-process, 1112ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 29094.000000 that M148 is in danger (after 4752ms proces-to-process, 3961ms node-to-node, 3hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 24509.000000 that M149 is in danger (after 1478ms proces-to-process, 674ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 30078.000000 that M168 is in danger (after 2316ms proces-to-process, 1343ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L18 of team T9 discovered at 26434.000000 that M169 is in danger (after 748ms proces-to-process, 405ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 never discovered that M179 is in danger from 22952.
leader L18 of team T9 discovered at 25788.000000 that M178 is in danger (after 1751ms proces-to-process, 700ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 29108.000000 that M173 is in danger (after 2737ms proces-to-process, 124ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L18 of team T9 discovered at 22086.000000 that M172 is in danger (after 3101ms proces-to-process, 1672ms node-to-node, 4hops, 2versions (8 first, 10 discovered)
leader L18 of team T9 discovered at 18180.000000 that M171 is in danger (after 1521ms proces-to-process, 288ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L18 of team T9 discovered at 29933.000000 that M170 is in danger (after 2407ms proces-to-process, 33ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
