Config: 
--------------------------------------------
leader L4 of team T2 discovered at 20077.000000 that M54 is in danger (after 1564ms proces-to-process, 187ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 21568.000000 that M48 is in danger (after 1775ms proces-to-process, 349ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 28514.000000 that M49 is in danger (after 9915ms proces-to-process, 6922ms node-to-node, 4hops, 4versions (9 first, 13 discovered)
leader L4 of team T2 discovered at 23657.000000 that M51 is in danger (after 2988ms proces-to-process, 282ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L4 of team T2 discovered at 18610.000000 that M50 is in danger (after 1609ms proces-to-process, 386ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 30863.000000 that M39 is in danger (after 7270ms proces-to-process, 5160ms node-to-node, 5hops, 2versions (12 first, 14 discovered)
leader L4 of team T2 discovered at 25449.000000 that M52 is in danger (after 2090ms proces-to-process, 33ms node-to-node, 1hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 26013.000000 that M37 is in danger (after 3081ms proces-to-process, 1280ms node-to-node, 7hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 24223.000000 that M43 is in danger (after 3088ms proces-to-process, 241ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 17080.000000 that M53 is in danger (after 1406ms proces-to-process, 53ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 29057.000000 that M41 is in danger (after 1830ms proces-to-process, 451ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 28514.000000 that M46 is in danger (after 3011ms proces-to-process, 2641ms node-to-node, 4hops, 1versions (12 first, 13 discovered)
leader L4 of team T2 discovered at 19629.000000 that M47 is in danger (after 2206ms proces-to-process, 208ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 26687.000000 that M44 is in danger (after 2272ms proces-to-process, 494ms node-to-node, 9hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 28514.000000 that M45 is in danger (after 6126ms proces-to-process, 5446ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
