Config: 
--------------------------------------------
leader L4 of team T2 discovered at 18235.000000 that M55 is in danger (after 1980ms proces-to-process, 1033ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 26687.000000 that M52 is in danger (after 3328ms proces-to-process, 943ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 21249.000000 that M48 is in danger (after 1456ms proces-to-process, 283ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L4 of team T2 discovered at 22673.000000 that M49 is in danger (after 4074ms proces-to-process, 1058ms node-to-node, 6hops, 1versions (9 first, 10 discovered)
leader L4 of team T2 discovered at 23657.000000 that M51 is in danger (after 2988ms proces-to-process, 692ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L4 of team T2 discovered at 19629.000000 that M50 is in danger (after 2628ms proces-to-process, 629ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 17532.000000 that M53 is in danger (after 1858ms proces-to-process, 804ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L4 of team T2 discovered at 26687.000000 that M38 is in danger (after 931ms proces-to-process, 191ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 24538.000000 that M37 is in danger (after 1606ms proces-to-process, 198ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L4 of team T2 discovered at 24538.000000 that M43 is in danger (after 3403ms proces-to-process, 511ms node-to-node, 6hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 26687.000000 that M40 is in danger (after 3422ms proces-to-process, 615ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 28754.000000 that M41 is in danger (after 1527ms proces-to-process, 374ms node-to-node, 3hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 26687.000000 that M46 is in danger (after 1184ms proces-to-process, 752ms node-to-node, 4hops, 0versions (12 first, 12 discovered)
leader L4 of team T2 discovered at 20587.000000 that M47 is in danger (after 3164ms proces-to-process, 1211ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 26687.000000 that M44 is in danger (after 2272ms proces-to-process, 202ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 23657.000000 that M45 is in danger (after 1269ms proces-to-process, 609ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L4 of team T2 discovered at 31665.000000 that M42 is in danger (after 1814ms proces-to-process, 492ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L4 of team T2 discovered at 20587.000000 that M54 is in danger (after 2074ms proces-to-process, 758ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L4 of team T2 discovered at 31665.000000 that M58 is in danger (after 2704ms proces-to-process, 1747ms node-to-node, 9hops, 0versions (13 first, 13 discovered)
leader L5 of team T2 discovered at 21202.000000 that M55 is in danger (after 4947ms proces-to-process, 4435ms node-to-node, 5hops, 2versions (7 first, 9 discovered)
leader L5 of team T2 discovered at 27136.000000 that M52 is in danger (after 3777ms proces-to-process, 1862ms node-to-node, 4hops, 2versions (11 first, 13 discovered)
leader L5 of team T2 discovered at 21202.000000 that M48 is in danger (after 1409ms proces-to-process, 193ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L5 of team T2 discovered at 22678.000000 that M49 is in danger (after 4079ms proces-to-process, 782ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
