Config: 
--------------------------------------------
leader L16 of team T8 discovered at 29377.000000 that M151 is in danger (after 3564ms proces-to-process, 2972ms node-to-node, 8hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 22739.000000 that M150 is in danger (after 1550ms proces-to-process, 759ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 18473.000000 that M160 is in danger (after 2825ms proces-to-process, 284ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 21937.000000 that M161 is in danger (after 2217ms proces-to-process, 572ms node-to-node, 8hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 23093.000000 that M162 is in danger (after 1050ms proces-to-process, 754ms node-to-node, 9hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 31784.000000 that M163 is in danger (after 2508ms proces-to-process, 636ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 20517.000000 that M153 is in danger (after 112ms proces-to-process, 27ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 20900.000000 that M166 is in danger (after 2934ms proces-to-process, 1089ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 33638.000000 that M146 is in danger (after 3835ms proces-to-process, 1473ms node-to-node, 7hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 25638.000000 that M147 is in danger (after 3643ms proces-to-process, 745ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 31784.000000 that M144 is in danger (after 3210ms proces-to-process, 932ms node-to-node, 6hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 29377.000000 that M152 is in danger (after 889ms proces-to-process, 202ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 21937.000000 that M155 is in danger (after 702ms proces-to-process, 117ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 24790.000000 that M154 is in danger (after 1901ms proces-to-process, 27ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 25638.000000 that M156 is in danger (after 2031ms proces-to-process, 749ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 20199.000000 that M159 is in danger (after 3470ms proces-to-process, 620ms node-to-node, 4hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 20199.000000 that M158 is in danger (after 1579ms proces-to-process, 202ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 25269.000000 that M148 is in danger (after 927ms proces-to-process, 398ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 23458.000000 that M149 is in danger (after 427ms proces-to-process, 7ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 27484.000000 that M151 is in danger (after 1671ms proces-to-process, 1252ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 23476.000000 that M150 is in danger (after 2287ms proces-to-process, 1848ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 18714.000000 that M160 is in danger (after 3066ms proces-to-process, 401ms node-to-node, 4hops, 0versions (7 first, 7 discovered)
leader L17 of team T8 discovered at 21416.000000 that M161 is in danger (after 1696ms proces-to-process, 7ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 22461.000000 that M162 is in danger (after 418ms proces-to-process, 51ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 30518.000000 that M163 is in danger (after 1242ms proces-to-process, 208ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 21807.000000 that M153 is in danger (after 1402ms proces-to-process, 1096ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 20637.000000 that M166 is in danger (after 2671ms proces-to-process, 1083ms node-to-node, 1hops, 1versions (8 first, 9 discovered)
leader L17 of team T8 discovered at 33234.000000 that M146 is in danger (after 3431ms proces-to-process, 1220ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 26606.000000 that M147 is in danger (after 4611ms proces-to-process, 1280ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 31976.000000 that M144 is in danger (after 3402ms proces-to-process, 1120ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 30518.000000 that M152 is in danger (after 2030ms proces-to-process, 1384ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 24509.000000 that M155 is in danger (after 3274ms proces-to-process, 2153ms node-to-node, 5hops, 1versions (10 first, 11 discovered)
leader L17 of team T8 discovered at 29094.000000 that M154 is in danger (after 6205ms proces-to-process, 4059ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 24890.000000 that M156 is in danger (after 1283ms proces-to-process, 146ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 20247.000000 that M159 is in danger (after 3518ms proces-to-process, 555ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 21807.000000 that M158 is in danger (after 3187ms proces-to-process, 2172ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 25602.000000 that M148 is in danger (after 1260ms proces-to-process, 967ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 25602.000000 that M149 is in danger (after 2571ms proces-to-process, 1659ms node-to-node, 5hops, 0versions (11 first, 11 discovered)
leader L18 of team T9 discovered at 52746.000000 that M168 is in danger (after 24984ms proces-to-process, 23528ms node-to-node, 6hops, 11versions (14 first, 25 discovered)
leader L18 of team T9 discovered at 29108.000000 that M169 is in danger (after 3422ms proces-to-process, 2774ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
