Config: 
--------------------------------------------
leader L12 of team T6 discovered at 28381.000000 that M124 is in danger (after 2377ms proces-to-process, 515ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 27028.000000 that M125 is in danger (after 3394ms proces-to-process, 1196ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 23014.000000 that M127 is in danger (after 3846ms proces-to-process, 2760ms node-to-node, 4hops, 1versions (9 first, 10 discovered)
leader L12 of team T6 discovered at 29947.000000 that M119 is in danger (after 3901ms proces-to-process, 88ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 30369.000000 that M118 is in danger (after 3079ms proces-to-process, 438ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 17760.000000 that M122 is in danger (after 1713ms proces-to-process, 47ms node-to-node, 2hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 25749.000000 that M123 is in danger (after 2495ms proces-to-process, 214ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 30369.000000 that M115 is in danger (after 337ms proces-to-process, 144ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 18632.000000 that M114 is in danger (after 1288ms proces-to-process, 43ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 21133.000000 that M108 is in danger (after 2539ms proces-to-process, 79ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 19828.000000 that M116 is in danger (after 1900ms proces-to-process, 753ms node-to-node, 6hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 23014.000000 that M111 is in danger (after 3450ms proces-to-process, 862ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 31925.000000 that M110 is in danger (after 1349ms proces-to-process, 356ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 31011.000000 that M113 is in danger (after 1856ms proces-to-process, 27ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 23014.000000 that M128 is in danger (after 1984ms proces-to-process, 657ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 28381.000000 that M120 is in danger (after 4270ms proces-to-process, 1510ms node-to-node, 6hops, 1versions (12 first, 13 discovered)
leader L12 of team T6 discovered at 28381.000000 that M117 is in danger (after 3832ms proces-to-process, 69ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 30757.000000 that M121 is in danger (after 2112ms proces-to-process, 1855ms node-to-node, 3hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 27770.000000 that M124 is in danger (after 1766ms proces-to-process, 355ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 25754.000000 that M125 is in danger (after 2120ms proces-to-process, 221ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 21547.000000 that M127 is in danger (after 2379ms proces-to-process, 1221ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 30061.000000 that M119 is in danger (after 4015ms proces-to-process, 335ms node-to-node, 5hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 30655.000000 that M118 is in danger (after 3365ms proces-to-process, 464ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 18173.000000 that M122 is in danger (after 2126ms proces-to-process, 436ms node-to-node, 5hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 27770.000000 that M123 is in danger (after 4516ms proces-to-process, 2494ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 35740.000000 that M115 is in danger (after 5708ms proces-to-process, 4995ms node-to-node, 5hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 19104.000000 that M114 is in danger (after 1760ms proces-to-process, 443ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 21977.000000 that M108 is in danger (after 3383ms proces-to-process, 949ms node-to-node, 9hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 20050.000000 that M116 is in danger (after 2122ms proces-to-process, 710ms node-to-node, 7hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 23910.000000 that M111 is in danger (after 4346ms proces-to-process, 894ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 41090.000000 that M110 is in danger (after 10514ms proces-to-process, 10313ms node-to-node, 5hops, 5versions (14 first, 19 discovered)
leader L13 of team T6 discovered at 37358.000000 that M113 is in danger (after 8203ms proces-to-process, 5828ms node-to-node, 8hops, 2versions (14 first, 16 discovered)
leader L13 of team T6 discovered at 27770.000000 that M128 is in danger (after 6740ms proces-to-process, 5808ms node-to-node, 4hops, 2versions (10 first, 12 discovered)
leader L13 of team T6 discovered at 26791.000000 that M120 is in danger (after 2680ms proces-to-process, 35ms node-to-node, 1hops, 0versions (12 first, 12 discovered)
leader L13 of team T6 discovered at 29273.000000 that M117 is in danger (after 4724ms proces-to-process, 1315ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 30061.000000 that M121 is in danger (after 1416ms proces-to-process, 1007ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 29089.000000 that M137 is in danger (after 1210ms proces-to-process, 241ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 22322.000000 that M136 is in danger (after 1278ms proces-to-process, 382ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 29089.000000 that M126 is in danger (after 2680ms proces-to-process, 426ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 23937.000000 that M134 is in danger (after 3517ms proces-to-process, 1049ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 20599.000000 that M133 is in danger (after 3086ms proces-to-process, 1327ms node-to-node, 6hops, 0versions (9 first, 9 discovered)
leader L14 of team T7 discovered at 33173.000000 that M132 is in danger (after 7929ms proces-to-process, 6193ms node-to-node, 4hops, 3versions (12 first, 15 discovered)
leader L14 of team T7 discovered at 23937.000000 that M131 is in danger (after 1702ms proces-to-process, 280ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L14 of team T7 discovered at 20599.000000 that M130 is in danger (after 2242ms proces-to-process, 1810ms node-to-node, 5hops, 1versions (8 first, 9 discovered)
leader L14 of team T7 discovered at 21368.000000 that M129 is in danger (after 1902ms proces-to-process, 629ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L14 of team T7 discovered at 30553.000000 that M139 is in danger (after 2047ms proces-to-process, 1110ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 33173.000000 that M138 is in danger (after 2856ms proces-to-process, 2602ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L14 of team T7 discovered at 31800.000000 that M146 is in danger (after 1997ms proces-to-process, 27ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
