Config: 
--------------------------------------------
leader L16 of team T8 discovered at 22739.000000 that M150 is in danger (after 1550ms proces-to-process, 1078ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 18473.000000 that M160 is in danger (after 2825ms proces-to-process, 130ms node-to-node, 3hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 21730.000000 that M161 is in danger (after 2010ms proces-to-process, 27ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 38753.000000 that M163 is in danger (after 9477ms proces-to-process, 8080ms node-to-node, 6hops, 4versions (14 first, 18 discovered)
leader L16 of team T8 discovered at 32745.000000 that M165 is in danger (after 2323ms proces-to-process, 151ms node-to-node, 2hops, 1versions (14 first, 15 discovered)
leader L16 of team T8 discovered at 26459.000000 that M151 is in danger (after 646ms proces-to-process, 550ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 36318.000000 that M147 is in danger (after 14323ms proces-to-process, 11422ms node-to-node, 8hops, 6versions (11 first, 17 discovered)
leader L16 of team T8 never discovered that M153 is in danger from 20405.
leader L16 of team T8 discovered at 32102.000000 that M152 is in danger (after 3614ms proces-to-process, 3135ms node-to-node, 10hops, 1versions (13 first, 14 discovered)
leader L16 of team T8 discovered at 24016.000000 that M155 is in danger (after 2781ms proces-to-process, 1832ms node-to-node, 4hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 25638.000000 that M154 is in danger (after 2749ms proces-to-process, 875ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 24790.000000 that M156 is in danger (after 1183ms proces-to-process, 213ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 21730.000000 that M159 is in danger (after 5001ms proces-to-process, 1788ms node-to-node, 4hops, 1versions (8 first, 9 discovered)
leader L16 of team T8 discovered at 30203.000000 that M158 is in danger (after 11583ms proces-to-process, 10516ms node-to-node, 4hops, 5versions (9 first, 14 discovered)
leader L16 of team T8 discovered at 24016.000000 that M149 is in danger (after 985ms proces-to-process, 644ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 21416.000000 that M150 is in danger (after 227ms proces-to-process, 27ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 22461.000000 that M160 is in danger (after 6813ms proces-to-process, 3980ms node-to-node, 2hops, 2versions (7 first, 9 discovered)
leader L17 of team T8 discovered at 22461.000000 that M161 is in danger (after 2741ms proces-to-process, 477ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 31150.000000 that M163 is in danger (after 1874ms proces-to-process, 300ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 32568.000000 that M165 is in danger (after 2146ms proces-to-process, 154ms node-to-node, 3hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 26606.000000 that M151 is in danger (after 793ms proces-to-process, 361ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 24890.000000 that M147 is in danger (after 2895ms proces-to-process, 79ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 never discovered that M153 is in danger from 20405.
leader L17 of team T8 discovered at 29618.000000 that M152 is in danger (after 1130ms proces-to-process, 229ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 22461.000000 that M155 is in danger (after 1226ms proces-to-process, 261ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 24890.000000 that M154 is in danger (after 2001ms proces-to-process, 7ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 24890.000000 that M156 is in danger (after 1283ms proces-to-process, 255ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
