Config: 
--------------------------------------------
leader L16 of team T8 discovered at 30694.000000 that M152 is in danger (after 2206ms proces-to-process, 1252ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 21730.000000 that M150 is in danger (after 541ms proces-to-process, 241ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 18473.000000 that M160 is in danger (after 2825ms proces-to-process, 40ms node-to-node, 1hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 22739.000000 that M161 is in danger (after 3019ms proces-to-process, 1071ms node-to-node, 4hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 18473.000000 that M164 is in danger (after 1534ms proces-to-process, 27ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 32745.000000 that M165 is in danger (after 2323ms proces-to-process, 233ms node-to-node, 1hops, 1versions (14 first, 15 discovered)
leader L16 of team T8 discovered at 31784.000000 that M151 is in danger (after 5911ms proces-to-process, 5408ms node-to-node, 3hops, 3versions (11 first, 14 discovered)
leader L16 of team T8 discovered at 25638.000000 that M147 is in danger (after 3643ms proces-to-process, 778ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 20900.000000 that M153 is in danger (after 495ms proces-to-process, 215ms node-to-node, 4hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 29690.000000 that M145 is in danger (after 2567ms proces-to-process, 378ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 28599.000000 that M155 is in danger (after 7364ms proces-to-process, 6582ms node-to-node, 3hops, 3versions (10 first, 13 discovered)
leader L16 of team T8 discovered at 24790.000000 that M154 is in danger (after 1901ms proces-to-process, 102ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 24790.000000 that M156 is in danger (after 1183ms proces-to-process, 137ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 20199.000000 that M159 is in danger (after 3470ms proces-to-process, 27ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 20517.000000 that M158 is in danger (after 1897ms proces-to-process, 1156ms node-to-node, 7hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 25269.000000 that M149 is in danger (after 2238ms proces-to-process, 1781ms node-to-node, 4hops, 1versions (11 first, 12 discovered)
leader L17 of team T8 discovered at 30518.000000 that M152 is in danger (after 2030ms proces-to-process, 1269ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 21416.000000 that M150 is in danger (after 227ms proces-to-process, 7ms node-to-node, 1hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 20247.000000 that M160 is in danger (after 4599ms proces-to-process, 1855ms node-to-node, 7hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 discovered at 22461.000000 that M161 is in danger (after 2741ms proces-to-process, 1016ms node-to-node, 3hops, 0versions (10 first, 10 discovered)
