Config: 
--------------------------------------------
leader L16 of team T8 discovered at 29377.000000 that M152 is in danger (after 889ms proces-to-process, 27ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 21730.000000 that M150 is in danger (after 541ms proces-to-process, 46ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 18473.000000 that M160 is in danger (after 2825ms proces-to-process, 115ms node-to-node, 2hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 discovered at 21730.000000 that M161 is in danger (after 2010ms proces-to-process, 148ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 22739.000000 that M162 is in danger (after 696ms proces-to-process, 127ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 31784.000000 that M163 is in danger (after 2508ms proces-to-process, 589ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 never discovered that M164 is in danger from 16939.
leader L16 of team T8 discovered at 21730.000000 that M153 is in danger (after 1325ms proces-to-process, 463ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 26200.000000 that M151 is in danger (after 327ms proces-to-process, 7ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 26200.000000 that M147 is in danger (after 4205ms proces-to-process, 1416ms node-to-node, 3hops, 1versions (11 first, 12 discovered)
leader L16 of team T8 discovered at 31784.000000 that M144 is in danger (after 3210ms proces-to-process, 309ms node-to-node, 5hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 29690.000000 that M145 is in danger (after 2567ms proces-to-process, 195ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 21937.000000 that M155 is in danger (after 702ms proces-to-process, 65ms node-to-node, 2hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 25269.000000 that M154 is in danger (after 2380ms proces-to-process, 147ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 24790.000000 that M156 is in danger (after 1183ms proces-to-process, 55ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 20199.000000 that M159 is in danger (after 3470ms proces-to-process, 262ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 20199.000000 that M158 is in danger (after 1579ms proces-to-process, 513ms node-to-node, 5hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 24790.000000 that M148 is in danger (after 448ms proces-to-process, 273ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 24016.000000 that M149 is in danger (after 985ms proces-to-process, 218ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 29618.000000 that M152 is in danger (after 1130ms proces-to-process, 569ms node-to-node, 7hops, 0versions (13 first, 13 discovered)
leader L17 of team T8 discovered at 22461.000000 that M150 is in danger (after 1272ms proces-to-process, 526ms node-to-node, 6hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 18714.000000 that M160 is in danger (after 3066ms proces-to-process, 326ms node-to-node, 4hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 discovered at 29094.000000 that M161 is in danger (after 9374ms proces-to-process, 7372ms node-to-node, 6hops, 3versions (10 first, 13 discovered)
leader L17 of team T8 discovered at 27484.000000 that M162 is in danger (after 5441ms proces-to-process, 4918ms node-to-node, 7hops, 2versions (10 first, 12 discovered)
leader L17 of team T8 discovered at 30518.000000 that M163 is in danger (after 1242ms proces-to-process, 33ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 never discovered that M164 is in danger from 16939.
leader L17 of team T8 discovered at 20637.000000 that M153 is in danger (after 232ms proces-to-process, 133ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 29897.000000 that M151 is in danger (after 4024ms proces-to-process, 3983ms node-to-node, 5hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 29094.000000 that M147 is in danger (after 7099ms proces-to-process, 3957ms node-to-node, 7hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 40618.000000 that M144 is in danger (after 12044ms proces-to-process, 9657ms node-to-node, 6hops, 5versions (14 first, 19 discovered)
leader L17 of team T8 discovered at 31150.000000 that M145 is in danger (after 4027ms proces-to-process, 1784ms node-to-node, 7hops, 1versions (13 first, 14 discovered)
leader L17 of team T8 discovered at 23067.000000 that M155 is in danger (after 1832ms proces-to-process, 896ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L17 of team T8 discovered at 25602.000000 that M154 is in danger (after 2713ms proces-to-process, 460ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 29094.000000 that M156 is in danger (after 5487ms proces-to-process, 4210ms node-to-node, 6hops, 2versions (11 first, 13 discovered)
leader L17 of team T8 discovered at 19454.000000 that M159 is in danger (after 2725ms proces-to-process, 132ms node-to-node, 3hops, 0versions (8 first, 8 discovered)
leader L17 of team T8 discovered at 20247.000000 that M158 is in danger (after 1627ms proces-to-process, 203ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L17 of team T8 discovered at 25602.000000 that M148 is in danger (after 1260ms proces-to-process, 788ms node-to-node, 11hops, 0versions (11 first, 11 discovered)
