Config: 
--------------------------------------------
leader L16 of team T8 discovered at 19167.000000 that M160 is in danger (after 3519ms proces-to-process, 1002ms node-to-node, 8hops, 1versions (7 first, 8 discovered)
leader L16 of team T8 never discovered that M161 is in danger from 19720.
leader L16 of team T8 discovered at 30694.000000 that M163 is in danger (after 1542ms proces-to-process, 229ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L16 of team T8 discovered at 27369.000000 that M151 is in danger (after 1556ms proces-to-process, 958ms node-to-node, 4hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 24790.000000 that M150 is in danger (after 3601ms proces-to-process, 3432ms node-to-node, 3hops, 1versions (10 first, 11 discovered)
leader L16 of team T8 discovered at 20517.000000 that M153 is in danger (after 112ms proces-to-process, 53ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 29377.000000 that M152 is in danger (after 889ms proces-to-process, 388ms node-to-node, 6hops, 0versions (13 first, 13 discovered)
leader L16 of team T8 discovered at 22739.000000 that M155 is in danger (after 1504ms proces-to-process, 684ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L16 of team T8 discovered at 24790.000000 that M154 is in danger (after 1901ms proces-to-process, 7ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 26200.000000 that M156 is in danger (after 2593ms proces-to-process, 1601ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L16 of team T8 discovered at 19167.000000 that M159 is in danger (after 2438ms proces-to-process, 7ms node-to-node, 1hops, 0versions (8 first, 8 discovered)
leader L16 of team T8 discovered at 20199.000000 that M158 is in danger (after 1579ms proces-to-process, 95ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L16 of team T8 discovered at 28079.000000 that M148 is in danger (after 3737ms proces-to-process, 3437ms node-to-node, 7hops, 2versions (11 first, 13 discovered)
leader L16 of team T8 discovered at 24016.000000 that M149 is in danger (after 985ms proces-to-process, 143ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 19454.000000 that M160 is in danger (after 3806ms proces-to-process, 953ms node-to-node, 6hops, 1versions (7 first, 8 discovered)
leader L17 of team T8 never discovered that M161 is in danger from 19720.
leader L17 of team T8 discovered at 31150.000000 that M163 is in danger (after 1998ms proces-to-process, 823ms node-to-node, 9hops, 0versions (14 first, 14 discovered)
leader L17 of team T8 discovered at 26606.000000 that M151 is in danger (after 793ms proces-to-process, 566ms node-to-node, 3hops, 0versions (11 first, 11 discovered)
leader L17 of team T8 discovered at 29094.000000 that M150 is in danger (after 7905ms proces-to-process, 7650ms node-to-node, 5hops, 4versions (10 first, 14 discovered)
leader L17 of team T8 discovered at 23699.000000 that M153 is in danger (after 3294ms proces-to-process, 3154ms node-to-node, 7hops, 1versions (9 first, 10 discovered)
leader L17 of team T8 discovered at 31976.000000 that M152 is in danger (after 3488ms proces-to-process, 2775ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L17 of team T8 discovered at 22461.000000 that M155 is in danger (after 1226ms proces-to-process, 689ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
