Config: 
--------------------------------------------
leader L12 of team T6 discovered at 27496.000000 that M124 is in danger (after 1492ms proces-to-process, 193ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 26476.000000 that M125 is in danger (after 2842ms proces-to-process, 636ms node-to-node, 2hops, 1versions (11 first, 12 discovered)
leader L12 of team T6 discovered at 30369.000000 that M126 is in danger (after 3960ms proces-to-process, 2082ms node-to-node, 2hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 20253.000000 that M127 is in danger (after 1085ms proces-to-process, 81ms node-to-node, 1hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 29947.000000 that M119 is in danger (after 3901ms proces-to-process, 82ms node-to-node, 1hops, 1versions (13 first, 14 discovered)
leader L12 of team T6 discovered at 29947.000000 that M118 is in danger (after 2657ms proces-to-process, 27ms node-to-node, 1hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 17760.000000 that M122 is in danger (after 1713ms proces-to-process, 203ms node-to-node, 1hops, 0versions (7 first, 7 discovered)
leader L12 of team T6 discovered at 25749.000000 that M123 is in danger (after 2495ms proces-to-process, 49ms node-to-node, 1hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 30369.000000 that M115 is in danger (after 337ms proces-to-process, 90ms node-to-node, 3hops, 0versions (13 first, 13 discovered)
leader L12 of team T6 discovered at 18632.000000 that M114 is in danger (after 1288ms proces-to-process, 27ms node-to-node, 2hops, 0versions (8 first, 8 discovered)
leader L12 of team T6 discovered at 21996.000000 that M108 is in danger (after 3402ms proces-to-process, 683ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L12 of team T6 discovered at 25148.000000 that M116 is in danger (after 7220ms proces-to-process, 6222ms node-to-node, 7hops, 3versions (8 first, 11 discovered)
leader L12 of team T6 discovered at 23692.000000 that M111 is in danger (after 4128ms proces-to-process, 1249ms node-to-node, 5hops, 0versions (10 first, 10 discovered)
leader L12 of team T6 discovered at 31925.000000 that M110 is in danger (after 1349ms proces-to-process, 1016ms node-to-node, 4hops, 1versions (14 first, 15 discovered)
leader L12 of team T6 discovered at 31011.000000 that M113 is in danger (after 1856ms proces-to-process, 107ms node-to-node, 2hops, 0versions (14 first, 14 discovered)
leader L12 of team T6 discovered at 25749.000000 that M112 is in danger (after 3406ms proces-to-process, 846ms node-to-node, 7hops, 0versions (11 first, 11 discovered)
leader L12 of team T6 discovered at 27028.000000 that M120 is in danger (after 2917ms proces-to-process, 249ms node-to-node, 5hops, 0versions (12 first, 12 discovered)
leader L12 of team T6 discovered at 24610.000000 that M130 is in danger (after 6253ms proces-to-process, 5969ms node-to-node, 8hops, 3versions (8 first, 11 discovered)
leader L12 of team T6 discovered at 31925.000000 that M117 is in danger (after 7376ms proces-to-process, 3347ms node-to-node, 6hops, 2versions (13 first, 15 discovered)
leader L12 of team T6 discovered at 29947.000000 that M121 is in danger (after 1302ms proces-to-process, 242ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 27770.000000 that M124 is in danger (after 1766ms proces-to-process, 7ms node-to-node, 1hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 26791.000000 that M125 is in danger (after 3157ms proces-to-process, 1247ms node-to-node, 5hops, 1versions (11 first, 12 discovered)
leader L13 of team T6 discovered at 31893.000000 that M126 is in danger (after 5484ms proces-to-process, 3383ms node-to-node, 3hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 20521.000000 that M127 is in danger (after 1353ms proces-to-process, 251ms node-to-node, 2hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 29521.000000 that M119 is in danger (after 3475ms proces-to-process, 287ms node-to-node, 4hops, 1versions (13 first, 14 discovered)
leader L13 of team T6 discovered at 30655.000000 that M118 is in danger (after 3365ms proces-to-process, 383ms node-to-node, 4hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 17798.000000 that M122 is in danger (after 1751ms proces-to-process, 129ms node-to-node, 3hops, 0versions (7 first, 7 discovered)
leader L13 of team T6 discovered at 25537.000000 that M123 is in danger (after 2283ms proces-to-process, 132ms node-to-node, 2hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 30655.000000 that M115 is in danger (after 623ms proces-to-process, 211ms node-to-node, 5hops, 0versions (13 first, 13 discovered)
leader L13 of team T6 discovered at 18839.000000 that M114 is in danger (after 1495ms proces-to-process, 281ms node-to-node, 5hops, 0versions (8 first, 8 discovered)
leader L13 of team T6 discovered at 21977.000000 that M108 is in danger (after 3383ms proces-to-process, 825ms node-to-node, 3hops, 0versions (9 first, 9 discovered)
leader L13 of team T6 discovered at 25537.000000 that M116 is in danger (after 7609ms proces-to-process, 6462ms node-to-node, 10hops, 3versions (8 first, 11 discovered)
leader L13 of team T6 discovered at 23910.000000 that M111 is in danger (after 4346ms proces-to-process, 1365ms node-to-node, 7hops, 0versions (10 first, 10 discovered)
leader L13 of team T6 discovered at 32376.000000 that M110 is in danger (after 1800ms proces-to-process, 1207ms node-to-node, 9hops, 0versions (14 first, 14 discovered)
leader L13 of team T6 discovered at 33043.000000 that M113 is in danger (after 3888ms proces-to-process, 2067ms node-to-node, 5hops, 1versions (14 first, 15 discovered)
leader L13 of team T6 discovered at 26791.000000 that M112 is in danger (after 4448ms proces-to-process, 1445ms node-to-node, 10hops, 0versions (11 first, 11 discovered)
leader L13 of team T6 discovered at 26791.000000 that M120 is in danger (after 2680ms proces-to-process, 57ms node-to-node, 2hops, 0versions (12 first, 12 discovered)
leader L13 of team T6 discovered at 24997.000000 that M130 is in danger (after 6640ms proces-to-process, 5686ms node-to-node, 5hops, 3versions (8 first, 11 discovered)
leader L13 of team T6 discovered at 31893.000000 that M117 is in danger (after 7344ms proces-to-process, 3518ms node-to-node, 8hops, 2versions (13 first, 15 discovered)
leader L13 of team T6 discovered at 29273.000000 that M121 is in danger (after 628ms proces-to-process, 102ms node-to-node, 2hops, 0versions (13 first, 13 discovered)
leader L14 of team T7 discovered at 29089.000000 that M137 is in danger (after 1210ms proces-to-process, 325ms node-to-node, 4hops, 0versions (13 first, 13 discovered)
