3721 1435 5 0
28763 28441 6 14
2162 569 2 0
3411 1090 3 1
2732 1748 5 1
7882 5710 6 3
4745 3167 9 0
4044 882 3 0
4275 3647 3 2
3783 3502 4 1
1208 753 2 0
2832 1329 7 0
6160 4681 4 1
14924 14025 9 6
2141 1478 9 0
4577 2991 4 1
9311 7292 8 3
2297 1649 4 0
4409 3991 4 1
1273 69 1 0
4716 1449 3 0
9264 6968 9 4
4559 3672 3 2
6530 3270 2 2
3895 1315 4 0
20740 18305 3 9
3025 804 3 0
3743 1423 2 1
8204 6943 3 3
3350 1683 3 1
2595 1950 3 1
2820 1352 4 0
8913 6893 2 3
3547 885 2 1
2294 1137 5 0
3299 1476 4 0
1910 1472 8 0
4243 2349 2 1
4419 637 2 0
2820 1487 4 0
4323 3800 7 1
2319 139 2 0
6530 6067 3 3
3941 2218 5 1
2338 159 2 1
1217 53 1 1
6625 4199 3 3
1625 537 4 0
3175 27 1 0
656 7 1 0
1363 992 5 0
1345 996 2 0
2970 1501 6 0
2855 1164 5 0
15564 14047 7 6
2839 1767 12 0
3121 1591 4 0
8558 6431 7 3
1928 1134 4 0
3540 3363 4 1
2435 1292 4 0
4777 1573 5 0
8730 6164 5 4
3409 2732 2 1
4070 652 2 0
2814 87 2 0
3226 653 2 1
3086 808 4 0
4048 2086 4 1
5830 4551 4 1
3487 1940 4 1
6066 5453 3 2
2499 776 4 0
2166 986 3 0
3642 637 2 0
2387 1957 6 0
2814 841 3 0
3422 3227 6 1
2488 714 3 0
6049 1938 3 1
5510 4141 4 1
4668 3434 5 1
3863 1812 10 0
7883 7419 8 3
6263 4189 4 2
6381 3526 9 2
2852 1435 5 1
7288 5470 7 3
3134 1852 8 0
4281 1016 3 0
2061 1052 4 0
736 83 2 0
1377 1028 5 0
2399 654 3 1
1769 176 2 0
14330 13006 4 6
1388 301 3 0
2484 959 4 0
7514 5358 5 3
1864 1636 1 1
1832 1280 6 0
4567 3167 4 1
5247 2349 3 1
9603 6956 10 4
4064 3585 4 1
5382 2339 3 1
4136 1890 4 1
4099 1570 4 1
5310 3143 3 1
2203 45 2 0
5001 3851 3 1
3519 1898 5 0
3096 2534 8 1
3669 1691 7 0
2930 1538 3 0
3784 1161 3 1
1119 537 5 0
5576 3994 5 1
591 7 1 0
3285 658 3 0
4239 551 5 0
1569 204 1 0
2960 2341 2 1
6152 3532 7 1
7985 7368 8 3
2819 1302 3 1
3705 1179 4 1
3417 2330 6 1
14630 12304 9 6
9616 8387 9 3
3892 630 2 0
1815 1231 5 0
1019 744 3 0
490 27 1 0
1949 341 4 0
2498 595 5 0
14934 13488 10 6
999 506 8 0
1813 27 1 0
9130 6734 7 3
1414 1167 3 0
1324 634 1 0
2229 1326 3 0
3834 612 2 0
14963 12548 9 6
1679 702 2 0
4529 1274 3 0
3686 713 3 0
4421 1669 3 1
5063 3109 2 1
3534 1107 4 1
6323 5287 5 1
2632 1063 3 0
8013 7099 3 3
2338 138 3 0
2904 1240 3 0
3395 266 1 1
2033 1354 4 0
2813 1423 4 0
1178 527 8 0
3360 1002 6 0
4319 275 3 0
4059 2521 6 1
4324 3197 6 1
5038 2603 3 1
1558 915 4 0
2919 942 3 1
2269 79 1 0
4106 492 4 0
2331 1159 4 1
3468 653 2 1
1263 226 4 0
1612 301 2 1
942 208 3 0
1018 202 1 0
1208 805 2 0
3233 1700 4 1
5180 3594 5 1
3787 2402 5 1
2141 1636 3 0
3606 1619 6 0
7554 5620 5 2
1623 1232 3 0
3195 2864 2 1
4063 2465 3 1
5098 2222 5 1
2586 7 1 0
8886 7481 6 4
2836 572 6 0
1022 342 4 0
3868 805 2 0
3038 566 4 0
2737 554 3 0
2268 133 2 0
2886 776 2 0
2233 804 2 0
2379 805 2 0
2339 1595 6 1
2328 616 2 0
952 165 2 0
2438 730 4 0
3061 1648 4 0
5699 5109 6 2
2294 1463 5 0
3299 1537 3 0
1330 673 3 0
3569 1301 3 0
4419 633 2 0
3494 2047 4 0
2197 1344 3 0
4489 2562 6 1
689 312 3 0
1712 60 1 1
3302 806 2 0
4411 756 5 0
1217 13 1 1
2008 177 1 0
2371 829 5 0
2139 939 5 1
1284 537 4 0
1363 773 3 0
1749 1436 5 1
3722 1698 4 1
5611 4196 6 1
4192 3090 6 1
2839 1812 7 0
3121 1618 6 0
8558 6223 6 2
1928 1232 3 0
4504 3723 6 1
2942 1863 2 1
4777 1510 3 1
3180 612 2 0
8248 6680 4 4
2666 171 2 0
1254 754 3 0
4070 805 2 0
3455 1135 4 0
3226 1019 3 0
3619 1388 7 0
2846 875 3 0
1300 203 1 0
2741 1266 2 1
1997 1474 3 1
3066 1407 3 0
1089 770 3 0
3032 1332 5 0
2290 1152 3 0
4243 3629 4 2
2387 1632 9 0
3661 2018 6 0
461 202 1 0
3874 1904 4 0
3894 202 1 0
3632 2047 4 0
1731 978 3 0
5602 3036 4 1
5941 5307 4 2
2429 861 5 0
3567 900 2 1
3946 630 2 0
1898 1043 3 1
5520 3050 3 2
3540 2499 4 1
3389 1490 3 1
4796 3675 3 2
1493 1039 6 0
1377 1320 2 1
7408 5637 4 2
5665 4001 6 1
2843 1924 5 1
3602 2955 3 1
3263 1254 7 0
8922 6772 7 3
2818 1693 4 0
3670 3290 3 1
4567 2893 4 1
5247 2344 6 0
3817 1040 3 0
9125 7710 6 4
4380 1184 4 0
2310 1199 4 0
4207 729 3 0
3611 1538 4 0
4099 1445 4 0
4256 2067 4 0
2492 501 2 0
1565 339 1 0
2036 640 1 1
2801 2338 3 1
5113 3453 3 1
5748 5378 7 1
2969 1466 5 0
2308 611 3 0
3606 2940 2 2
745 156 2 0
3578 1964 4 0
591 541 3 0
2029 96 1 0
3929 31 1 0
4015 1925 4 0
1405 562 1 0
13426 11226 6 5
6016 5696 9 2
2819 871 5 1
3059 817 4 1
6865 3423 4 2
3417 2628 5 1
4116 1557 5 1
4645 3365 6 1
3103 1876 6 1
2342 1741 8 0
1019 444 5 0
1627 811 3 1
1949 480 1 1
1499 7 1 0
2158 749 1 0
3121 2440 6 0
1813 105 1 0
7310 5419 2 3
3383 2896 6 0
334 182 2 0
7168 6236 7 2
4616 1676 8 0
5772 3210 6 1
9333 8072 10 4
5380 3112 6 1
4965 4374 5 2
4529 1377 5 0
7108 5062 5 2
4875 2814 6 0
14498 12412 7 5
2484 349 3 0
6682 5518 8 1
2632 1177 5 0
9233 8608 7 3
7357 5038 4 2
4614 4213 9 0
1556 27 1 0
1919 294 1 0
3996 3478 6 2
2700 2135 8 0
2567 512 2 0
3870 3515 5 1
6782 4941 6 1
4319 218 3 0
2611 582 4 0
3098 2235 5 1
