16175 13681 6 1
18308 18012 6 4
21132 19021 8 1
12006 9584 6 2
19675 15372 3 4
8750 7721 3 1
12112 10012 7 1
26444 25016 7 4
1395 167 1 0
686 7 1 0
24507 23742 9 2
20839 17713 4 5
11784 10325 5 1
16164 13803 5 0
19220 17866 8 0
13441 13007 7 0
20311 18721 5 4
23629 21180 7 1
14681 14493 2 4
9934 9900 7 0
18663 17090 8 1
25249 22514 3 7
20323 18990 6 4
21726 19485 10 2
15696 14703 2 1
25339 21636 9 6
8655 6624 1 0
17231 14569 5 3
9155 6656 2 1
18303 16235 4 1
22121 20886 7 1
13132 11876 5 0
20823 19606 4 4
26644 24966 9 6
14353 13659 8 0
20651 18795 3 4
15266 14114 4 2
12226 11339 5 2
20204 19803 6 5
10252 8676 5 1
11522 11366 4 4
17203 12597 4 1
16893 15355 3 3
21303 20546 8 3
5443 3398 1 0
4302 3940 2 0
12543 10764 3 1
12397 9808 3 3
7600 3784 1 0
6617 4997 6 1
15543 13752 9 1
14369 12998 4 4
3259 1295 2 1
3906 2952 1 2
13236 12993 7 1
8768 5627 6 1
9552 7654 5 1
18999 17596 7 0
9437 8020 6 0
10262 9499 4 2
12778 11283 5 0
23393 21258 6 6
8462 7688 4 0
5351 4873 5 0
14047 12501 6 1
16110 13405 2 4
21508 20169 4 6
16655 14123 7 1
15437 14866 5 1
16823 13194 5 4
8855 6066 6 1
14833 12636 4 3
9460 7620 5 1
24414 22561 7 4
18341 16954 7 0
12296 10377 4 0
12648 11981 6 2
23017 21485 7 6
7276 6497 6 0
10868 9313 7 0
14563 12964 5 2
17834 16619 7 2
10604 9790 6 2
23912 21795 5 6
5453 5038 3 0
17943 14288 6 3
22829 21427 4 7
13412 12622 6 3
14875 12689 8 0
9522 8971 6 0
16740 15164 9 1
10737 8432 4 3
18545 15136 3 4
6028 4761 2 0
12565 10728 6 1
6350 5322 6 0
9795 8323 5 1
11292 10591 6 0
18461 17793 7 3
20044 17208 5 6
9849 8259 5 1
14760 13256 9 0
18769 17711 7 4
11059 10464 6 2
12934 11109 5 0
9801 7766 5 0
10558 10132 4 3
9702 9671 2 3
18540 17222 9 4
23496 20338 4 6
15203 12554 5 4
9125 7718 4 1
14857 12583 6 3
10346 9743 4 0
9461 6376 5 0
9145 7092 6 1
15268 12712 5 3
16846 14613 5 4
10230 8057 2 1
11548 10542 3 1
13649 12308 6 0
22270 21320 8 5
12816 11216 5 2
6807 5667 5 0
16808 14999 7 2
8741 7991 4 0
15541 15013 3 4
5170 3824 4 0
6623 6449 4 1
11260 9075 5 0
9009 5344 1 1
20351 18894 7 3
12943 11893 6 3
6602 4606 4 0
4143 3825 5 0
7263 5730 5 1
3705 1412 4 1
11903 8325 6 0
1448 203 1 0
4116 1863 4 1
2653 1667 5 0
6098 4781 4 1
6814 6225 5 0
8332 8156 4 1
4870 2100 4 1
5371 3840 4 1
10749 9053 8 0
5351 4526 2 2
